Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
S100A9	365.5410749009266	6.432140672371763e-79	7.708920595837558e-76	370.014897858692	6.910420671324908e-80	7.134515741666443e-77	480.47247823401136	8.135840075808028e-104	2.745574830916015e-100	405.3428169978767	3	4.200817904844117e-256	9.934934344956336e-253
S100A8	350.6901927476756	1.057370606165816e-75	1.126452152435316e-72	384.5570058574206	4.8983811986616735e-83	7.080120184545582e-80	396.9387781147135	1.019134106711824e-85	1.719618949391751e-82	377.39532557326993	3	5.2612695032200214e-238	8.887787410796679e-235
LYZ	160.6273824563712	1.3419485421616831e-34	5.146641048898487e-32	169.3014606258695	1.8008113288005304e-36	7.23025748513413e-34	159.81722986128082	2.0071217993175822e-34	8.128040438516481e-32	163.24869098117384	3	9.012950041078672e-100	7.612723873982522e-97
IGF2BP1	173.80510263898535	1.919333085857669e-37	8.763126489144441e-35	143.73240508126474	5.923969848722458e-31	1.585649262841378e-28	159.86246919572795	1.9625052861148348e-34	8.278501465261079e-32	159.13332563865936	3	3.9549334675019984e-97	3.1178058835474084e-94
AZU1	125.15544233873118	5.9832247396889856e-27	1.334119972189256e-24	160.298864407383	1.579914273603783e-34	5.437162121587876e-32	174.98164685537355	1.0693392034008204e-37	5.41299504761495e-35	153.47865120049593	3	1.6829455653022702e-93	1.1706371358646672e-90
FARP1	232.3050023414744	4.3897177987099855e-50	3.006329589573667e-47	201.52012226646696	1.980158708628724e-43	9.54040465817319e-41	3.8019458286483054	0.2836598793614582	0.7674432438950836	145.8756901455299	3	1.2649543295074215e-88	7.122897593535837e-86
GPR110	103.68801601746488	2.50246058002724e-22	4.209402112508978e-20	188.55710718036192	1.251097429976447e-40	5.651050704024865e-38	128.8735622517053	9.45834293587143e-28	2.7358932537932103e-25	140.37289514984403	3	4.25256021244051e-85	2.0114609804843609e-82
S100P	203.50183114494672	7.387230572725832e-44	4.72191778208635e-41				186.7866911771179	3.017901654750645e-40	1.797249197217384e-37	195.14426116103232	2	3.420240987547478e-81	1.4979388769536642e-78
C12orf56	134.9063340229247	4.7380778190248575e-29	1.2619080591336203e-26				253.00716719074492	1.463540162311836e-54	1.1397600464034636e-51	193.9567506068348	2	1.1079278250414018e-80	4.679016618255205e-78
NANP	189.52808368711413	7.718803376328932e-41	4.625492923265114e-38				177.52738695689413	3.0158968289340314e-38	1.6069968155856915e-35	183.52773532200413	2	3.357556546001876e-76	1.2807453598861994e-73
BPI	132.16453933807367	1.847489476672597e-28	4.6615076585097024e-26	69.61062952030419	5.1716772863234555e-15	4.614285401019705e-13	135.24722101704248	4.000548911246477e-29	1.3065018444341722e-26	112.34079662514011	3	3.5738350756014444e-67	1.1421783721347855e-64
TPSB2	103.42469243530977	2.8510539687887145e-22	4.713087147025206e-20	95.96492467303756	1.1453403348321876e-20	1.839416577740493e-18	115.4554369909196	7.345672198858653e-25	1.6166866378531527e-22	104.9483513664223	3	1.8452549495926297e-62	5.455034944733211e-60
S100A12	63.20018065891544	1.2169422351999892e-13	7.937443640202378e-12	4.058267370140956	0.2552406564139793	0.7259442046059932	239.29748062892955	1.3502838418002804e-51	9.764481153132888e-49	102.18530955266198	3	1.0610250339481128e-60	2.91781884335731e-58
CSTA	86.39906767253854	1.2996234543141881e-18	1.4834273428529087e-16	76.056578130943	2.1509679027905816e-16	2.2207207190667904e-14	115.99095791036616	5.632907168367394e-25	1.2960807311943525e-22	92.81553457128256	3	9.647437509382859e-55	2.1126101583046725e-52
MNDA	94.02752093195885	2.987432426682018e-20	4.151232189424232e-18	67.7960216769617	1.2650070539847136e-14	1.0508282734652325e-12	115.87724637041003	5.95957568229175e-25	1.3407720935004818e-22	92.56692965977686	3	1.387766437734613e-54	2.983697841129419e-52
PLG				210.87201141120863	1.886770699859293e-45	1.1363076539902597e-42				210.87201141120863	1	1.8867706998593212e-45	3.0563100720323933e-43
IGF2BP3	62.76790174858332	1.5055424147069256e-13	9.753473427168919e-12	83.36677653587589	5.816876566675731e-18	7.375187183748337e-16	85.51774841670536	2.009172689082021e-18	2.7121152405688503e-16	77.21747556705485	3	7.382473022099796e-45	1.1639699131510678e-42
HMGA2	87.56420968159789	7.30557276133888e-19	8.542174589721608e-17				131.92908700072874	2.076482806309309e-28	6.569472478461077e-26	109.74664834116332	2	1.3344515601379629e-44	2.0493363244975858e-42
MLYCD	6.693521926209392	0.0823350798820452	0.3773559970884559	1.5913152536314843	0.6613606271382477	0.9850892935548466	191.23396898715148	3.3040552414009926e-41	2.2300170175962435e-38	66.50626872233079	3	4.1791311293072997e-38	4.9418225604058825e-36
RETN	77.56284730666567	1.0225944433843112e-16	9.078366225156272e-15	46.27502353487312	4.956988382485963e-10	2.356852305278029e-08	74.28257725173943	5.162494869148096e-16	4.83936093104216e-14	66.04014936442609	3	8.206422193831556e-38	9.421450722529916e-36
DEFA3	96.73649699452348	7.81796370504721e-21	1.1898196191109945e-18				60.57487200290038	4.430164864369929e-13	3.030472235600078e-11	78.65568449871193	2	2.196555824686827e-31	1.909872987273657e-29
PRR12	2.712600443906346	0.4380902262647533	0.8950370955521958	142.89047485454014	8.998650823481937e-31	2.3226160536179988e-28	1.5924123933645762	0.6611114798727347	0.9934826513628569	49.06516256393703	3	3.3585169922184634e-27	2.451510088455761e-25
FCN1	50.66283300693489	5.771944573213917e-11	2.8823648212486994e-09	13.550029479839296	0.0035862538476979	0.0403077084872674	75.26988723241156	3.1714755605752877e-16	3.0873094783907903e-14	46.49424990639525	3	1.3191787245841475e-25	9.069353731516012e-24
GCA	43.80461196531426	1.6605217173120824e-09	6.8625354420639e-08	56.16096528830323	3.881459157560309e-12	2.50458083318646e-10	37.86382038777881	3.0204715552480234e-08	1.0921162151903922e-06	45.9431325471321	3	2.893784468422877e-25	1.933276911813589e-23
SPRY1				31.27634555430601	7.434464756687641e-07	2.3879500798480704e-05	84.97077618664018	2.632867692418023e-18	3.50725691026843e-16	58.12356087047309	2	9.99709082660542e-23	6.062338411518415e-21
PLXDC2	9.269381619122203	0.0259156479335003	0.1704247135709197	98.12631418960012	3.929475040475392e-21	6.454162753980831e-19	13.055871271905326	0.0045173253315779	0.0457334016568949	40.150522360209216	3	1.079979305891831e-21	6.260174162828871e-20
RPS4Y1	76.94235844694533	1.3891215217019526e-16	1.210808831825302e-14	4.139319988701865	0.2468077582716748	0.7137573705599817	36.72787943082575	5.253587645488573e-08	1.815266939349021e-06	39.26985262215765	3	3.7496307166258166e-21	2.101392569862573e-19
DDX3Y	22.30947744253606	5.623976576624077e-05	0.0010022804352541	28.327647248123508	3.100030888423356e-06	8.486334557058937e-05	39.77245896726426	1.1906555910174404e-08	4.672169458705646e-07	30.13652788597461	3	1.3473399979581573e-15	5.49389499167421e-14
SERPINA1	20.751934209842656	0.0001185315754768	0.0019730568501255	30.316792842199547	1.1837208717914805e-06	3.579393615245618e-05	31.284801730251104	7.404039694714027e-07	2.1174716912227345e-05	27.45117626076444	3	5.5000038224658554e-14	1.9530794354552173e-12
GLRX	17.221140385892692	0.0006364526646389	0.0083364865417462	31.37170780835849	7.098465847311671e-07	2.3004759048664325e-05	32.49867520084756	4.108376678586041e-07	1.249045210030182e-05	27.030507798366244	3	9.806745570976653e-14	3.371068790023225e-12
CES5A	59.7471822730421	6.656678532935156e-13	4.0395084666950807e-11							59.7471822730421	1	6.656678532935156e-13	2.180477109472527e-11
LRRC4	26.67648660437217	6.882225586516234e-06	0.0001496298841803	6.173321529076677	0.1034755894804395	0.4548771807634651	37.50836656780181	3.5918098077047635e-08	1.275911666428176e-06	23.45272490041688	3	1.2952799366100576e-11	3.7912587253499825e-10
SOCS2	57.3972388721139	2.114031593028201e-12	1.2137326295781068e-10				4.829685715673987	0.1847017213867375	0.6293908540287211	31.113462293893942	2	1.5862082333428176e-11	4.574856672994833e-10
ATIC	18.33893891173031	0.000374429240336	0.0053106916513936	13.759240323621576	0.003251877201982	0.0374821635386353	25.279765159764537	1.3494446125978263e-05	0.0002976422060553	19.12598146503881	3	4.277602031091623e-09	9.653176339247795e-08
ZNF79							40.80728170422058	7.184501578993732e-09	2.921120240390865e-07	40.80728170422058	1	7.184501578993732e-09	1.570364716665451e-07
EPB41L1	30.031636303951423	1.3590713524405544e-06	3.456439291034492e-05				15.870864141535266	0.0012052481604707	0.0156034940877308	22.951250222743344	2	3.095860994696325e-08	6.225944942565314e-07
GNAI1	21.878697159782263	6.91339934659839e-05	0.0012095925718099	15.55280451866563	0.0014002990950486	0.0188453660333639	15.109671357858051	0.001725285575968	0.0209433946895684	17.513724345435318	3	3.5707388557873853e-08	7.168758398927983e-07
QPRT	15.78482579983765	0.0012551790436861	0.0149313358199291	5.823153729710353	0.120538439177982	0.496937421528395	25.955496905000107	9.744236636288964e-06	0.0002236976229156	15.854492144849369	3	3.081405329783537e-07	5.52085121586217e-06
FCAR	12.144694096061802	0.0069035836127886	0.0619771158046979	6.11619748517236	0.1060918045821793	0.4613269986253971	28.93091793779076	2.315543281885694e-06	6.041896955105867e-05	15.730603173008308	3	3.614626265277705e-07	6.379545609986398e-06
MAOB	18.354857837588103	0.0003716067802471	0.0052862994198954	9.83142706398063	0.0200547812716212	0.1538597709660367	16.400442315855475	0.0009385458073109	0.0125685684566348	14.86224240580807	3	1.100079618583593e-06	1.7819782862672586e-05
HMGA1	14.49056703545669	0.0023080487255187	0.02500516517545	19.33501301452564	0.000233077387952	0.0040984191793905	10.606727691627547	0.0140541076302806	0.1142841651798885	14.810769247203291	3	1.1747184569967526e-06	1.892513045502261e-05
MXRA7	14.47445982113128	0.0023255679810136	0.0251665302505183				21.954512946525696	6.666824023728346e-05	0.0012227341742069	18.214486383828486	2	2.2748426932538464e-06	3.475454114693377e-05
PADI4	12.80966982721308	0.0050668170482136	0.0482908964793957	1.907459118423488	0.5918342468834996	0.9581510085634076	28.1192159232866	3.4286705763474752e-06	8.721573094206493e-05	14.278781622974387	3	2.309924980275637e-06	3.515426369595805e-05
RFX2	12.11553989443963	0.0069976697114625	0.0622968033365859	2.01302987170936	0.5697067152307709	0.9510904206451332	27.867238363749657	3.872700960207239e-06	9.75304092565624e-05	13.998602709966216	3	3.2923540437789386e-06	4.884828929446167e-05
DDT	16.62985658491427	0.0008420605457804	0.0106232585696619	11.518461781966645	0.0092286362716184	0.0844244991582106	10.460448006602968	0.0150316154726738	0.1200158320546923	12.869588791161291	3	1.355027283024302e-05	0.0001812578916488
TXN	10.604966557557242	0.0140654955589002	0.1070317233482027	13.622686688615635	0.0034664363161037	0.0394518665456408	14.360280683082983	0.0024535939851694	0.0280680062213052	12.862644643085288	3	1.3667743013636076e-05	0.0001826226679505
ITPR3	1.1298886201612963	0.7698641879622019	1.0	4.080735703796773	0.2528770697468937	0.7232064040604673	33.17877423209246	2.9528015614013505e-07	9.169988652646403e-06	12.796466185350177	3	1.4838950006988438e-05	0.0001971579593625
MID1							25.00481689987033	1.5404732758913432e-05	0.0003325320137553	25.00481689987033	1	1.5404732758913432e-05	0.0002039876426362
BST1	2.7447402226726805	0.4326776270613329	0.8902388601425023	10.897025596026095	0.0122959300774847	0.1071926256573974	23.60349968034756	3.0223507520026204e-05	0.0006011449707912	12.415088499682112	3	2.379369198126873e-05	0.0003045026057126
MLNR				8.422988705040906	0.0380327394588513	0.2383890789844917	21.906207266467725	6.822895496733536e-05	0.0012401255656899	15.164597985754316	2	3.4029652371271826e-05	0.0004267239016864
RPL10	17.693340060732186	0.0005087730855912	0.0068609231289017	2.20049046273058	0.5318517718079872	0.93588817990171	15.742912843034013	0.0012802410569549	0.0164065322286222	11.878914455498927	3	4.59827169456121e-05	0.0005646372044463
MAVS	17.38489386582263	0.0005889228664379	0.0078316122654739	9.597868051002305	0.0223126809614103	0.1665844476323479	8.583499390096998	0.0353730074869284	0.2267994476235995	11.855420435640644	3	4.732296362791725e-05	0.0005774964343654
